player_id,name,team,role,total_points,matches_played,average,home_average,away_average,last_5_average,current_price,max_price,min_price,is_home_next,opponent_next,team_win_prob,draw_prob,opponent_win_prob,match_minus_1,match_minus_2,match_minus_3,match_minus_4,match_minus_5
577fc05cd0b969de4e1a7096,Chimy Ávila,Betis,delantero,4,5,0.8,0.0,1.0,0.0,,1000000,1000000,True,Barcelona,23.450715502307364,22.133259575211444,54.416024922481185,0,0,0,0,0
6884c2ae19c279041887fa84,Valentín Gómez,Betis,defensa,42,11,3.8181818181818183,5.2,2.6666666666666665,4.6,,2895938,1946035,True,Barcelona,23.450715502307364,22.133259575211444,54.416024922481185,4,13,3,3,0
63375e14c376ff465d2a5af7,Aitor Paredes,Athletic de Bilbao,defensa,38,8,4.75,3.5,6.0,0.8,,1452191,1241463,True,Real Madrid,21.941293618495106,23.50852887695904,54.55017750454585,4,0,0,0,0
5b34a5c720ba80411d09b254,Juan Cruz,Osasuna,defensa,24,10,2.4,2.0,3.0,0.4,,1000000,1000000,True,Levante,53.27714403641737,25.86542085145329,20.85743511212935,1,0,0,0,1
632f6f28d2f4c20bd75d484b,Carlos Romero,Espanyol,defensa,92,13,7.076923076923077,8.428571428571429,5.5,6.0,,37161836,36607128,True,Rayo Vallecano,40.86640155681529,28.547254420847786,30.586344022336913,4,5,0,5,16
66008381aa35cf4f4218df43,Liso,Getafe,centrocampista,73,11,6.636363636363637,5.4,7.666666666666667,4.2,,21097915,20337903,False,Villarreal,15.891357264496763,24.755380663286413,59.35326207221682,3,3,3,7,5
67804e6ab11a5e759942b02f,Kervin Arriaga,Levante,centrocampista,37,11,3.3636363636363638,3.0,3.6666666666666665,4.6,,4809994,4380731,False,Osasuna,20.85743511212935,25.86542085145329,53.27714403641737,0,2,3,13,5
520243d0d7a595bd3700001f,Oblak,Atlético de Madrid,portero,65,13,5.0,5.25,4.6,5.0,,22356642,21345949,False,Barcelona,23.366619115549213,22.068473609129814,54.56490727532097,6,0,5,4,10
628135edd1a6e308e48ee195,John Donald,Elche,defensa,18,8,2.25,3.75,0.75,0.0,,1000000,1000000,True,Girona,43.38972023422251,27.937540663630447,28.672739102147037,0,0,0,0,0
5b89b1161c0c9f16f9678cba,Lo Celso,Betis,centrocampista,62,12,5.166666666666667,6.166666666666667,4.166666666666667,3.6,,57956122,57341514,True,Barcelona,23.450715502307364,22.133259575211444,54.416024922481185,0,2,3,7,6
62c8810bb1a2d22da1beec0b,Marcão,Sevilla,defensa,36,12,3.0,3.2,2.857142857142857,3.4,,1734640,1265719,False,Valencia,27.563376166142845,28.03589118613386,44.400732647723316,3,8,4,0,2
64d1243213c6a63ccc321949,Campos,Levante,portero,10,2,5.0,6.0,4.0,0.0,,1000000,1000000,False,Osasuna,20.85743511212935,25.86542085145329,53.27714403641737,0,0,0,0,0
614f52757bf8f60892e55d4a,Jesús Vázquez,Valencia,defensa,18,9,2.0,2.0,2.0,0.8,,1000655,1000000,True,Sevilla,44.400732647723316,28.03589118613386,27.563376166142845,0,0,2,0,2
53d5fac899056b0c7700012e,Thomas Partey,Villarreal,centrocampista,33,12,2.75,3.0,2.5,3.8,,10550294,9561047,True,Getafe,59.35326207221682,24.755380663286413,15.891357264496763,0,5,5,7,2
68a21b2501a094041b51ad5b,Bekhoucha,Getafe,defensa,9,3,3.0,2.0,3.5,0.0,,1031048,1000000,False,Villarreal,15.891357264496763,24.755380663286413,59.35326207221682,0,0,0,0,0
68a3a86d3a1cb503e4687030,Martim Neto,Elche,centrocampista,39,11,3.5454545454545454,4.0,3.1666666666666665,2.0,,1336757,1104330,True,Girona,43.38972023422251,27.937540663630447,28.672739102147037,3,3,0,2,2
